City,County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
NEWARK,ALAMEDA,3,11,9,8,5,14,17,19,11,6,10.3
COACHELLA,RIVERSIDE,5,6,7,8,16,10,14,19,11,6,10.2
CLAREMONT,"LOS ANGELES",12,8,10,10,5,11,10,7,15,13,10.1
"CHINO HILLS","SAN BERNARDINO",14,12,7,9,12,10,11,9,13,4,10.1
"MENLO PARK","SAN MATEO",14,14,8,10,8,14,8,15,3,7,10.1
PARADISE,BUTTE,11,10,7,10,12,15,18,6,7,3,9.9
"PASO ROBLES","SAN LUIS OBISPO",10,8,15,6,1,6,14,15,11,13,9.9
"DANA POINT",ORANGE,4,13,10,6,20,9,12,6,8,10,9.8
"MORGAN HILL","SANTA CLARA",5,10,12,11,6,11,11,10,15,7,9.8
"SAN DIMAS","LOS ANGELES",5,6,11,7,5,12,13,16,8,14,9.7
"LEMON GROVE","SAN DIEGO",11,12,4,7,3,13,10,9,14,13,9.6
"LOS GATOS","SANTA CLARA",10,11,5,8,9,11,12,11,6,13,9.6
"SAN GABRIEL","LOS ANGELES",10,11,8,11,10,11,10,12,6,6,9.5
NOVATO,MARIN,8,2,8,7,11,12,13,14,13,7,9.5
POWAY,"SAN DIEGO",8,10,7,16,8,10,14,9,5,8,9.5
"HUNTINGTON PARK","LOS ANGELES",8,5,5,6,12,12,6,11,19,10,9.4
ALAMEDA,ALAMEDA,10,12,12,12,10,9,11,4,6,7,9.3
CLOVIS,FRESNO,6,8,4,14,13,8,12,9,13,6,9.3
"DESERT HOT SPRINGS",RIVERSIDE,7,9,12,9,8,3,6,11,14,14,9.3
"PLEASANT HILL","CONTRA COSTA",10,6,4,7,11,11,12,6,10,12,8.9
LAWNDALE,"LOS ANGELES",4,9,8,6,7,6,14,14,11,10,8.9
BEAUMONT,RIVERSIDE,9,7,8,7,8,8,12,9,11,9,8.8
VERNON,"LOS ANGELES",10,5,5,6,6,12,9,18,9,7,8.7
WILDOMAR,RIVERSIDE,5,5,7,11,7,10,10,9,13,10,8.7
PACIFICA,"SAN MATEO",6,10,10,11,3,6,6,13,12,9,8.6
"EL CENTRO",IMPERIAL,5,5,7,10,8,11,5,14,11,9,8.5
SANTEE,"SAN DIEGO",11,7,13,9,12,11,5,7,4,5,8.4
"ROHNERT PARK",SONOMA,10,10,12,7,9,6,5,7,6,12,8.4
TRUCKEE,NEVADA,4,8,5,14,12,8,7,7,4,13,8.2
COVINA,"LOS ANGELES",6,4,9,4,8,9,13,6,7,15,8.1
"TWENTYNINE PALMS","SAN BERNARDINO",5,9,6,8,5,9,9,10,6,13,8.0
ROCKLIN,PLACER,5,6,3,8,7,11,9,7,14,9,7.9
HOLLISTER,"SAN BENITO",5,6,8,8,8,8,9,6,8,12,7.8
SARATOGA,"SANTA CLARA",5,10,13,5,14,5,8,3,6,8,7.7
"SOUTH EL MONTE","LOS ANGELES",4,3,2,5,5,8,9,14,13,13,7.6
ATASCADERO,"SAN LUIS OBISPO",3,6,7,6,3,5,8,14,14,10,7.6
SHAFTER,KERN,6,5,1,9,2,12,10,13,7,10,7.5
"LA PUENTE","LOS ANGELES",2,9,4,3,8,5,10,9,12,13,7.5
CORONADO,"SAN DIEGO",6,4,6,13,11,8,7,6,7,6,7.4
DUARTE,"LOS ANGELES",6,6,6,7,2,3,9,6,18,10,7.3
PLACENTIA,ORANGE,6,12,10,12,8,9,4,2,2,8,7.3
ATWATER,MERCED,4,8,4,9,3,9,6,2,9,18,7.2
"BELL GARDENS","LOS ANGELES",10,7,4,6,11,5,7,8,6,7,7.1
LAFAYETTE,"CONTRA COSTA",6,4,3,10,4,6,6,8,10,13,7.0
"RED BLUFF",TEHAMA,2,7,6,4,9,5,11,5,13,8,7.0
"LA QUINTA",RIVERSIDE,5,6,4,11,6,10,5,5,7,10,6.9
ANDERSON,SHASTA,2,1,8,5,10,7,2,6,8,20,6.9
"LA MIRADA","LOS ANGELES",6,9,5,8,7,5,4,8,6,10,6.8
NORCO,RIVERSIDE,8,8,3,9,4,5,8,7,9,7,6.8
"RANCHO MIRAGE",RIVERSIDE,11,5,7,11,8,4,8,5,4,5,6.8
MONROVIA,"LOS ANGELES",4,11,9,5,7,3,8,4,7,9,6.7
"LOS ALAMITOS",ORANGE,3,9,7,6,11,6,6,6,4,8,6.6
"EAST PALO ALTO","SAN MATEO",3,1,3,7,4,9,8,8,13,10,6.6
DELANO,KERN,6,10,6,10,7,7,9,4,2,4,6.5
"BEVERLY HILLS","LOS ANGELES",0,0,13,11,0,2,9,8,8,14,6.5
"YUCCA VALLEY","SAN BERNARDINO",4,5,7,7,4,3,5,10,9,11,6.5
CLEARLAKE,LAKE,9,2,0,0,0,9,9,4,16,15,6.4
ADELANTO,"SAN BERNARDINO",2,3,7,6,3,6,9,7,9,12,6.4
BENICIA,SOLANO,2,10,7,5,9,9,6,6,5,5,6.4
ARCATA,HUMBOLDT,3,8,7,4,4,6,8,12,8,3,6.3
RIDGECREST,KERN,6,3,5,7,9,3,6,6,9,9,6.3
"LA VERNE","LOS ANGELES",8,8,4,9,5,4,2,8,6,7,6.1
"LOMA LINDA","SAN BERNARDINO",4,6,5,4,6,7,6,7,8,8,6.1
"SAN CARLOS","SAN MATEO",1,4,2,4,8,4,13,5,10,9,6.0
PINOLE,"CONTRA COSTA",7,4,2,5,9,8,2,9,4,9,5.9
UKIAH,MENDOCINO,5,7,5,3,5,9,8,5,7,5,5.9
MILLBRAE,"SAN MATEO",4,0,5,5,11,4,5,7,8,10,5.9
OAKDALE,STANISLAUS,9,7,7,5,5,4,6,6,4,6,5.9
ALBANY,ALAMEDA,4,3,6,4,6,5,8,9,4,9,5.8
HERCULES,"CONTRA COSTA",6,4,4,3,7,5,3,4,9,13,5.8
LINCOLN,PLACER,4,2,2,7,5,6,8,4,11,9,5.8
GALT,SACRAMENTO,1,2,6,5,5,6,8,7,8,8,5.6
DIXON,SOLANO,5,3,5,2,6,5,7,8,10,5,5.6
"YORBA LINDA",ORANGE,4,9,5,3,12,6,7,2,3,4,5.5
"SIGNAL HILL","LOS ANGELES",2,3,9,5,3,11,6,10,3,2,5.4
"ARROYO GRANDE","SAN LUIS OBISPO",1,9,2,4,3,7,4,12,5,7,5.4
"CALIFORNIA CITY",KERN,2,2,3,3,6,4,5,6,9,13,5.3
AUBURN,PLACER,5,4,3,3,1,9,4,7,3,13,5.2
WOODSIDE,"SAN MATEO",4,4,2,2,3,0,5,9,8,15,5.2
MOORPARK,VENTURA,10,2,4,7,3,8,5,4,4,5,5.2
OAKLEY,"CONTRA COSTA",5,5,5,3,8,6,3,5,4,7,5.1
ORINDA,"CONTRA COSTA",8,2,3,4,3,4,3,8,7,9,5.1
"FOSTER CITY","SAN MATEO",5,9,6,5,5,2,4,2,4,9,5.1
"LOS ALTOS","SANTA CLARA",3,1,5,3,7,6,4,6,10,6,5.1
"SANTA PAULA",VENTURA,3,5,7,4,0,5,8,9,6,4,5.1
"GRASS VALLEY",NEVADA,7,3,3,1,10,3,5,5,7,6,5.0
"ALISO VIEJO",ORANGE,6,6,6,8,3,8,4,5,3,1,5.0
EMERYVILLE,ALAMEDA,4,6,4,8,1,5,9,4,2,6,4.9
SEASIDE,MONTEREY,1,3,4,3,8,6,11,4,5,4,4.9
ARTESIA,"LOS ANGELES",2,9,8,4,4,3,3,4,3,8,4.8
CALABASAS,"LOS ANGELES",8,2,6,6,3,3,5,6,5,4,4.8
