STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
WILLIAMS,NEWHALL,SW,EB,,20539000,WILLIAMS & NEWHALL,,,,,,,POINT (-122.39739 37.72994),86,86,2,9,1
BROAD,SAN JOSE,SW,EB,00,21593000,BROAD & SAN JOSE,,,,,,,POINT (-122.45346 37.71321),81,81,10,1,24
SILLIMAN,BRUSSELS,SW,EB,,20894000,SILLIMAN ST & BRUSSELS ST,20190716000000,,190716-086,I,19-8216,20200122000000,POINT (-122.407074 37.730717),91,91,2,2,25
37TH AVE,SANTIAGO,SE,NB,0,23408000,37TH AVE & SANTIAGO,,,,,,,POINT (-122.49511 37.74407),39,39,10,7,35
LYON,GOLDEN GATE,NW,SB,0,26375000,LYON ST & GOLDEN GATE AVE,,,,I,,,POINT (-122.443504 37.778088),97,97,7,11,18
20TH AVE,BUCKINGHAM,NW,SB,0,33717000,20TH AVE & BUCKINGHAM,,,,,,,POINT (-122.47594 37.730118),41,41,10,8,16
UPPER TERRACE,MASONIC,SW,EB,0,26328000,UPPER TERRACE & MASONIC,,,,,,,POINT (-122.443535 37.765324),112,112,7,5,3
36TH AVE,MORAGA,SE,NB,0,27703000,36TH AVE & MORAGA,,,,,,,POINT (-122.49482 37.755302),39,39,10,7,35
26TH AVE,SLOAT,SE,NB,0,23219000,26TH AVE & SLOAT,,,,,,,POINT (-122.48202 37.73442),40,40,10,8,35
26TH ST,DOLORES,SW,EB,00,21902000,26TH ST & DOLORES ST,,,,,,,POINT (-122.42484 37.748634),52,52,3,5,20
SANTA YNEZ,DELANO,SW,EB,0,22110000,SANTA YNEZ & DELANO,,,,,,,POINT (-122.44162 37.72538),94,94,9,1,28
PINEHURST,KENWOOD,SE,NB,,22753000,PINEHURST & KENWOOD,,,,,,,POINT (-122.46474 37.728363),68,68,10,8,41
MAPLE,SACRAMENTO,NW,SB,0,26947000,MAPLE & SACRAMENTO,,,,,,,POINT (-122.45524 37.787136),10,10,8,6,31
ALPHA,LELAND,,WB,,20347000,ALPHA & LELAND,,,,,,,POINT (-122.40654 37.71226),75,75,9,9,40
CABRILLO,40TH AVE,SW,EB,0,27873000,CABRILLO ST & 40TH AVE,,,,I,,,POINT (-122.50039 37.7737),8,8,8,4,29
HICKORY,LAGUNA,NE,WB,,30071000,HICKORY ST & LAGUNA ST,,,,,,,POINT (-122.42598 37.77505),22,22,4,11,9
COLON,BRENTWOOD,SE,NB,,22801000,COLON AVE & BRENTWOOD AVE,20160503000000,,16-056,,,,POINT (-122.45823 37.733883),70,70,9,8,41
HALE,BARNEVELD,NE,WB,0,20772000,HALE & BARNEVELD,,,,,,,POINT (-122.40702 37.73262),91,91,2,2,25
17TH ST,EUREKA,SE,WB,,25831000,17TH ST & EUREKA,,,,,,,POINT (-122.438416 37.76229),115,115,7,5,5
PALOU,QUINT,NE,WB,0,20691000,PALOU & QUINT,,,,,,,POINT (-122.396515 37.737156),87,87,2,9,1
PARIS,BRAZIL,NW,SB,0,21717000,PARIS ST & BRAZIL AVE,,,,I,,,POINT (-122.433235 37.723934),90,90,9,1,7
CENTRAL,GOLDEN GATE,SE,NB,0,26384000,CENTRAL & GOLDEN GATE,,,,,,,POINT (-122.44515 37.777885),97,97,7,11,18
24TH AVE,LAKE,NW,SB,20N,27654000,24TH AVE & LAKE,,,,,,,POINT (-122.48408 37.785793),2,2,8,4,29
WHIPPLE,HURON,NW,SB,0,21542000,WHIPPLE & HURON,,,,,,,POINT (-122.44942 37.71218),66,66,9,1,28
JACKSON ST,LARKIN,SE,WB,0,25300000,JACKSON ST & LARKIN,,,,,,,POINT (-122.419754 37.794353),105,105,6,3,32
ROOSEVELT,LOMA VISTA,SE,NB,0,26207000,ROOSEVELT & LOMA VISTA,,,,,,,POINT (-122.443214 37.764557),112,112,7,5,5
MCALLISTER,CENTRAL,NE,WB,0,26373000,MCALLISTER ST & CENTRAL AVE,,,,,,,POINT (-122.44497 37.77696),97,97,7,11,18
BRODERICK,PACIFIC,NW,SB,,26865000,BRODERICK ST & PACIFIC AVE,,,,,,,POINT (-122.44301 37.792297),102,102,8,6,30
38TH AVE,SANTIAGO,NW,SB,,23409000,38TH AVE & SANTIAGO,,,,,,,POINT (-122.49618 37.744022),39,39,10,7,35
CLAY,HYDE,SW,EB,0,25258000,CLAY ST & HYDE,,,,,,,POINT (-122.41776 37.792805),16,16,6,3,32
09TH AVE,CALIFORNIA,SE,NB,0,27606000,09TH AVE & CALIFORNIA,,,,,,,POINT (-122.467766 37.784668),5,5,8,4,11
BURROWS,SOMERSET,NE,WB,0,20892000,BURROWS ST & SOMERSET ST,,,,I,,,POINT (-122.40805 37.7278),91,91,2,2,25
JENNINGS ST,CARGO,SE,NB,0,33104000,JENNINGS ST & CARGO,,,,,,,POINT (-122.37685 37.740192),76,76,2,9,1
MOSCOW,FRANCE,SE,NB,0,21398000,FRANCE & MOSCOW,20210122000000,,6356,I,21-01819,20210330000000,POINT (-122.43115 37.716595),90,90,9,1,7
SHAKESPEARE,DE LONG,SE,NB,0,22486000,SHAKESPEARE & DE LONG,,,,,,,POINT (-122.46461 37.70964),66,66,10,1,28
SELBY,KIRKWOOD,SE,NB,,20724000,SELBY & KIRKWOOD,,,,,,,POINT (-122.397415 37.74239),85,85,2,9,1
28TH AVE,VICENTE,SE,NB,,23250000,28TH AVE & VICENTE ST,,,,,,,POINT (-122.48508 37.7389),40,40,10,7,35
BLUXOME,05TH ST,SW,EB,0,23824000,BLUXOME & 05TH ST,,,,,,,POINT (-122.39797 37.77594),32,32,1,10,4
FILBERT,STEINER,NE,WB,0,26683000,FILBERT ST & STEINER,,,,,,,POINT (-122.437325 37.79781),15,15,4,6,13
SANCHEZ,20TH ST,NW,SB,0,25713000,SANCHEZ ST & 20TH ST,,,,I,,,POINT (-122.43027 37.757954),52,52,3,5,5
MURRAY,JUSTIN,SW,EB,,21240000,MURRAY ST & JUSTIN DR,,,,I,,,POINT (-122.42238 37.73384),93,93,9,2,2
ALPINE,WALLER,SE,NB,,2601900,ALPINE TER & WALLER ST,,,,I,,,POINT (-122.437805 37.770214),112,112,7,11,3
OCTAVIA,FULTON,SE,WB,0,25945000,OCTAVIA ST & FULTON ST,,,,,,,POINT (-122.424995 37.778538),22,22,4,11,9
COLON,MONTEREY,SE,NB,0,22646000,COLON AVE & MONTEREY BLVD,,,,,,,POINT (-122.456604 37.731186),71,71,9,8,41
MUSEUM,ROOSEVELT,,NB,,26313000,MUSEUM & ROOSEVELT,,,,,,,POINT (-122.44124 37.76527),113,113,7,5,5
QUESADA,RANKIN,NE,WB,,20751000,QUESADA & RANKIN,,,,,,,POINT (-122.39894 37.737587),87,87,2,9,1
ELMWOOD,SOUTHWOOD,,WB,,22656000,,,,,,,,POINT (-122.459816 37.725815),71,71,9,8,41
22ND ST,EUREKA,SW,EB,0,25766000,22ND ST & EUREKA ST,,,,I,,,POINT (-122.437645 37.754295),115,115,3,5,22
LANE ST,THOMAS,NW,SB,0,20503000,LANE ST & THOMAS,,,,,,,POINT (-122.39129 37.73041),86,86,2,9,1
WEBSTER,BEACH,SE,NB,0,26777000,WEBSTER & BEACH,,,,,,,POINT (-122.435356 37.804756),17,17,4,6,13
OCEAN,CLEARFIELD,SW,EB,,23307000,OCEAN & CLEARFIELD,,,,,,,POINT (-122.49144 37.73201),43,43,10,8,35
GROVE,CENTRAL,SW,EB,,26371000,GROVE & CENTRAL,,,,,,,POINT (-122.444595 37.775085),24,24,7,11,18
CLARION,MISSION,SW,EB,0,24164000,CLARION & MISSION,,,,,,,POINT (-122.41948 37.76305),53,53,3,2,20
HEAD ST,GARFIELD ST,NW,SB,0,22692000,HEAD ST & GARFIELD ST,,,,,,,POINT (-122.46446 37.719692),64,64,10,1,24
LAGUNA ST,SACRAMENTO,NW,SB,0,26556000,LAGUNA ST & SACRAMENTO,,,,,,,POINT (-122.42909 37.79046),102,102,4,6,30
SUNRISE,SAWYER,NE,WB,,20404000,SUNRISE & SAWYER,,,,,,,POINT (-122.415955 37.709694),75,75,9,9,40
VAN DYKE,INGALLS,SW,EB,0,20144000,VAN DYKE & INGALLS,,,,,,,POINT (-122.3868 37.725986),78,78,2,9,1
DOUGLASS,26TH ST,NW,SB,0,22046000,DOUGLASS & 26TH ST,,,,,,,POINT (-122.43816 37.747833),84,84,3,5,22
PENNSYLVANIA,18TH ST,SE,NB,0,23654000,PENNSYLVANIA AVE & 18TH ST,,,,I,,,POINT (-122.393616 37.762756),54,54,2,9,26
SCOTT,ELLIS,SE,NB,0,26616000,SCOTT & ELLIS,,,,,,,POINT (-122.43745 37.781727),97,97,4,11,39
40TH AVE,JUDAH,NW,SB,0,27787000,40TH AVE & JUDAH,,,,,,,POINT (-122.4995 37.760708),39,39,10,7,35
STANFORD HEIGHTS,LOS PALMOS,NW,SB,,22360000,STANFORD HEIGHTS AVE & LOS PALMOS DR,,,,I,,,POINT (-122.44999 37.73584),72,72,9,8,41
10TH AVE,CLEMENT,SE,NB,0,27303000,10TH AVE & CLEMENT,,,,,,,POINT (-122.468704 37.78275),5,5,8,4,11
MELRA,SUNNYDALE,SE,NB,,20366000,MELRA & SUNNYDALE,,,,,,,POINT (-122.41044 37.71035),75,75,9,9,40
BUCHANAN,SACRAMENTO,NW,SB,0,26561000,BUCHANAN & SACRAMENTO,,,,,,,POINT (-122.43074 37.790253),102,102,4,6,30
JACKSON ST,WALNUT,SW,EB,0,26955000,JACKSON ST & WALNUT,,,,,,,POINT (-122.44919 37.790607),10,10,8,6,31
CLAY,LOCUST,NE,WB,,26940000,CLAY ST & LOCUST,,,,,,,POINT (-122.452126 37.788437),10,10,8,6,31
MANGELS,NORDHOFF,NE,WB,0,22269000,MANGELS AVE & NORDHOFF ST,20220218000000,,6527,I,22-04040,20220512000000,POINT (-122.4409 37.733105),95,95,9,5,41
YORK,25TH ST,SE,NB,0,23951000,YORK & 25TH ST,,,,,,,POINT (-122.408035 37.751255),53,53,3,2,20
JUDAH ST,28TH AVE,SW,EB,0,27431000,JUDAH ST & 28TH AVE,,,,,,,POINT (-122.48664 37.761276),39,39,10,7,35
SHIELDS,MONTICELLO,NE,WB,0,22726000,SHIELDS & MONTICELLO,,,,,,,POINT (-122.47073 37.717884),64,64,10,1,24
SANTA MONICA,SANTA CLARA,NE,WB,0,22916000,SANTA MONICA & SANTA CLARA,,,,,,,POINT (-122.46584 37.738495),116,116,10,8,41
10TH AVE,QUINTARA,SE,NB,,22982000,10TH AVE & QUINTARA,,,,,,,POINT (-122.46634 37.749073),45,45,10,8,41
GREENWICH,SCOTT,SW,EB,0,26966000,GREENWICH ST & SCOTT ST,,,,,,,POINT (-122.440796 37.798325),14,14,4,6,13
LARKIN ST,VALLEJO,SE,NB,0,25312000,LARKIN ST & VALLEJO,,,,,,,POINT (-122.42032 37.797108),105,105,6,3,32
MORELAND,FARNUM,SW,EB,,21960000,MORELAND ST & FARNUM ST,20181106000000,,181106-145,I,18-6870,20190111000000,POINT (-122.43431 37.739445),59,59,9,5,10
JOHN F KENNEDY DR,36TH AVE,NW,EB,0,27820000,JOHN F KENNEDY DR & 36TH AVE,,,,,,,POINT (-122.49382 37.770275),9,9,8,4,12
43RD AVE,CABRILLO,SE,NB,0,27882000,43RD AVE & CABRILLO,,,,,,,POINT (-122.50361 37.773556),8,8,8,4,29
LANE ST,NEWCOMB,SE,NB,0,20208000,LANE ST & NEWCOMB,,,,,,,POINT (-122.38791 37.73417),86,86,2,9,1
29TH AVE,SANTIAGO,SE,NB,0,23285000,29TH AVE & SANTIAGO,,,,,,,POINT (-122.486534 37.744446),40,40,10,7,35
KENSINGTON WY,MERCED,,WB,,22881000,KENSINGTON WY & MERCED,,,,,,,POINT (-122.46286 37.743385),49,49,10,8,41
MONTEREY,RIDGEWOOD,SW,EB,E-LINE,22256000,MONTEREY & RIDGEWOOD,,,,,,,POINT (-122.453415 37.73153),71,71,9,8,41
CARDENAS,SERRANO,SE,NB,,23042000,CARDENAS & SERRANO,,,,,,,POINT (-122.47705 37.72008),42,42,10,8,16
FILLMORE,PAGE,SE,NB,,25902000,FILLMORE ST & PAGE ST,,,,,,,POINT (-122.430626 37.77304),26,26,4,11,9
FELTON,SOMERSET,NE,WB,0,20900000,FELTON ST & SOMERSET ST,,,,,,,POINT (-122.40855 37.729004),91,91,2,2,25
ROMAIN,GRAND VIEW,SW,EB,0,26096000,ROMAIN & GRAND VIEW,,,,,,,POINT (-122.44013 37.756424),115,115,3,5,38
SCOTT,BEACH,NW,SB,0,26995000,SCOTT & BEACH,,,,,,,POINT (-122.44194 37.803917),17,17,4,6,13
BROADWAY,LEAVENWORTH ST,SW,EB,0,25284000,BROADWAY & LEAVENWORTH ST,,,,,,,POINT (-122.41684 37.796597),107,107,6,3,32
24TH AVE,ANZA,SE,NB,0,27536000,24TH AVE & ANZA,,,,,,,POINT (-122.48353 37.778214),8,8,8,4,29
NIAGARA,CAYUGA,NE,WB,0,22082000,NIAGARA & CAYUGA,,,,,,,POINT (-122.44471 37.717995),80,80,9,1,28
LONDON,GENEVA,NW,SB,0,21475000,LONDON ST & GENEVA AVE,,,,I,,,POINT (-122.440254 37.716038),58,58,9,1,7
INGALLS,INGERSON,SE,NB,0,20441000,INGALLS ST & INGERSON AVE,,,,,,,POINT (-122.39298 37.719112),88,88,2,9,1
25TH AVE,VICENTE,NW,SB,0,23236000,25TH AVE & VICENTE,,,,,,,POINT (-122.48186 37.73904),40,40,10,7,35
SENECA,DELANO,NE,WB,,22099000,SENECA AVE & DELANO AVE,,,,,,,POINT (-122.4445 37.721096),80,80,9,1,28
HANOVER,GUTTENBERG,NE,WB,0,21461000,HANOVER & GUTTENBERG,,,,,,,POINT (-122.442665 37.70932),58,58,9,1,7
PIERCE,BROADWAY,NW,SB,0,26674000,PIERCE ST & BROADWAY,,,,,,,POINT (-122.43821 37.79385),102,102,4,6,30
ARBOR,CONRAD,SW,EB,0,21987000,ARBOR & CONRAD,,,,,,,POINT (-122.43629 37.737324),96,96,9,5,10
18TH ST,BRYANT,SW,EB,0,24014000,18TH ST & BRYANT,,,,,,,POINT (-122.41012 37.76176),53,53,3,2,20
TOMPKINS,BANKS,NE,WB,,21052000,TOMPKINS & BANKS,,,,,,,POINT (-122.41286 37.737034),83,83,9,2,2
17TH ST,ARKANSAS,SW,EB,0,23745000,17TH ST & ARKANSAS ST,,,,,,,POINT (-122.398705 37.765015),54,54,1,9,4
BLYTHDALE,SANTOS,NE,WB,0,20423000,BLYTHDALE & SANTOS,,,,,,,POINT (-122.41877 37.71073),74,74,9,9,40
MADERA,ARKANSAS,SW,EB,0,23706000,MADERA & ARKANSAS,,,,,,,POINT (-122.39783 37.755898),54,54,2,9,26
UNIVERSITY,BACON,SE,NB,0,20882000,UNIVERSITY & BACON,,,,,,,POINT (-122.41347 37.725056),92,92,2,2,25
28TH AVE,CABRILLO,SE,NB,0,27528000,28TH AVE & CABRILLO,,,,,,,POINT (-122.48753 37.774292),8,8,8,4,29
SCOTIA,SILVER,SE,NB,,20737000,SCOTIA & SILVER,,,,,,,POINT (-122.4022 37.73448),87,87,2,9,1
CASITAS,HAZELWOOD,NW,SB,,22810000,CASITAS AVE & HAZELWOOD AVE,20190305000000,,190305-026,I,22-03653,20220225000000,POINT (-122.4595 37.73429),70,70,9,8,41
REPOSA,MARIETTA,SW,EB,0,22405000,REPOSA & MARIETTA,,,,,,,POINT (-122.44844 37.741226),72,72,9,8,41
35TH AVE,VICENTE,SE,NB,0,23372000,35TH AVE & VICENTE ST,,,,I,,,POINT (-122.49258 37.738567),40,40,10,7,35
REVERE,INGALLS,NE,WB,0,20125000,REVERE & INGALLS,,,,,,,POINT (-122.38456 37.728485),86,86,2,9,1
WALLER,CENTRAL,NE,WB,0,26339000,WALLER & CENTRAL,,,,,,,POINT (-122.44346 37.769497),112,112,7,11,3
BARTLETT,26TH ST,NW,SB,0,21342000,BARTLETT ST & 26TH ST,,,,,,,POINT (-122.41924 37.748974),53,53,3,2,20
COLE,PARNASSUS,SE,NB,0,26281000,COLE ST & PARNASSUS AVE,,,,,,,POINT (-122.44977 37.764866),114,114,7,11,3
NAPLES,EXCELSIOR,NW,SB,0,21642000,NAPLES & EXCELSIOR,,,,,,,POINT (-122.42883 37.723953),90,90,9,1,7
DESMOND,SUNNYDALE,NW,SB,0,20340000,DESMOND & SUNNYDALE,20221007000000,,6589,L,,,POINT (-122.40598 37.7091),75,75,9,9,40
DIAMOND HEIGHTS,DUNCAN,SE,NB,0,22335000,DIAMOND HEIGHTS BLVD & DUNCAN ST,,,,,,,POINT (-122.44009 37.745296),57,57,9,5,22
CASTRO,ELIZABETH,SE,NB,0,25742000,CASTRO ST & ELIZABETH ST,,,,,,,POINT (-122.434166 37.75209),84,84,3,5,22
JENNINGS ST,INGERSON,NW,SB,0,20458000,JENNINGS ST & INGERSON,,,,,,,POINT (-122.39485 37.720177),88,88,2,9,1
EUCALYPTUS,MIDDLEFIELD,SW,EB,0,23134000,EUCALYPTUS DR & MIDDLEFIELD DR,,,,,,,POINT (-122.486176 37.73088),62,62,10,8,35
MCKINNON,LANE,,EB,,20205000,,,,,,,,POINT (-122.38738 37.734825),86,86,2,9,1
25TH AVE,SEA CLIFF,NW,SB,0,27664000,25TH AVE & SEA CLIFF,,,,,,,POINT (-122.48525 37.78893),1,1,8,6,33
