STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
BLAKE,ANZA,NW,SB,,26468000,BLAKE ST & ANZA ST,,,,,,,POINT (-122.45084 37.78062),12,12,7,4,18
24TH ST,HAMPSHIRE,NE,WB,,23954000,24TH ST & HAMPSHIRE,,,,,,,POINT (-122.40729 37.752907),53,53,3,2,20
SUSSEX,DIAMOND,NE,WB,0,21948000,SUSSEX & DIAMOND,,,,,,,POINT (-122.4347 37.737255),96,96,9,5,10
KENSINGTON WY,MERCED,NE,WB,,22881000,KENSINGTON WY & MERCED,,,,,,,POINT (-122.46286 37.743385),49,49,10,8,41
TRAINOR,14TH ST,,SB,,24337000,,,,,,,,POINT (-122.41454 37.7686),53,53,3,2,20
TARAVAL,28TH AVE,NE,WB,0,23277000,TARAVAL & 28TH AVE,,,,,,,POINT (-122.48534 37.742626),40,40,10,7,35
28TH ST,DOLORES,NE,WB,00,21896000,28TH ST & DOLORES ST,,,,I,,,POINT (-122.42454 37.745438),84,84,9,5,22
LOMBARD,GRANT,NE,WB,0,25382000,LOMBARD ST & GRANT AVE,,,,I,,,POINT (-122.40815 37.803432),106,106,6,3,23
30TH ST,NOE,SW,EB,0,21953000,30TH ST & NOE,,,,,,,POINT (-122.430885 37.741833),59,59,9,5,10
HOLLOWAY,VERNON,SW,EB,0,22729000,HOLLOWAY & VERNON,,,,,,,POINT (-122.46808 37.721657),67,67,10,8,41
SOUTH TEA GARDEN,MARTIN LUTHER KING,,SB,,27265000,SOUTH TEA GARDEN & MARTIN LUTHER KING,,,,I,,,POINT (-122.46976 37.76921),9,9,8,4,12
LONDON,AMAZON,SE,NB,0,21732000,LONDON ST & AMAZON AVE,,,,I,,,POINT (-122.439644 37.716957),90,90,9,1,7
NORIEGA,39TH AVE,NE,WB,,27751000,NORIEGA & 39TH AVE,,,,I,19-7548,20190920000000,POINT (-122.4979 37.753296),39,39,10,7,35
WINDING,SOUTH HILL,SE,NB,0,21385000,WINDING & SOUTH HILL,,,,,,,POINT (-122.43187 37.711403),58,58,9,1,7
GRAFTON,PLYMOUTH,NE,WB,0,22576000,GRAFTON AVE & PLYMOUTH AVE,,,,,,,POINT (-122.45613 37.72003),64,64,10,1,24
29TH AVE,JUDAH,SE,NB,00,27432000,29TH AVE & JUDAH,,,,,,,POINT (-122.48771 37.76123),39,39,10,7,35
43RD AVE,MORAGA,SE,NB,0,27775000,43RD AVE & MORAGA,,,,,,,POINT (-122.50232 37.75495),39,39,10,7,35
MISSISSIPPI,19TH ST,SE,NB,,23663000,MISSISSIPPI & 19TH ST,,,,,,,POINT (-122.39447 37.761417),54,54,2,9,26
EDDY,PIERCE,NE,WB,0,26068000,EDDY & PIERCE,,,,,,,POINT (-122.435616 37.78101),97,97,4,11,39
JONES ST,CHESTNUT,SE,NB,0,25527000,JONES ST & CHESTNUT,,,,,,,POINT (-122.41651 37.80335),107,107,6,3,32
FILLMORE,JACKSON,SE,NB,0,26653000,FILLMORE ST & JACKSON ST,,,,,,,POINT (-122.434555 37.792473),102,102,4,6,30
GOETTINGEN,OLMSTEAD,NW,SB,,20602000,GOETTINGEN ST & OLMSTEAD ST,,,,I,,,POINT (-122.404564 37.722065),91,91,2,2,25
15TH ST,KANSAS,SE,NB,,23858000,15TH ST & KANSAS ST,,,,I,,,POINT (-122.40376 37.767315),33,33,1,9,4
SCHWERIN,VISITACION,SE,NB,0,20372000,SCHWERIN & VISITACION,,,,,,,POINT (-122.410645 37.712208),75,75,9,9,40
OCTAVIA,GROVE,SE,NB,0,25928000,OCTAVIA ST & GROVE ST,,,,,,,POINT (-122.42481 37.777603),22,22,4,11,9
08TH AVE,NORIEGA,SE,NB,0,27102000,08TH AVE & NORIEGA,,,,,,,POINT (-122.46459 37.75475),44,44,10,8,14
MIGUEL,LAIDLEY,NW,SB,0,21872000,MIGUEL & LAIDLEY,,,,,,,POINT (-122.42825 37.737743),59,59,9,5,10
JENNINGS ST,EVANS,SE,NB,0,20177000,JENNINGS ST & EVANS,,,,,,,POINT (-122.37911 37.73768),86,86,2,9,1
HERMANN,CHURCH,SW,EB,0,25888000,HERMANN & CHURCH,,,,,,,POINT (-122.42922 37.77035),28,28,7,5,9
NEWHALL,GALVEZ,SE,NB,0,20225000,NEWHALL ST & GALVEZ AVE,,,,,,,POINT (-122.38771 37.740673),86,86,2,9,1
DELTA,RAYMOND,SE,NB,0,20359000,DELTA & RAYMOND,,,,,,,POINT (-122.409195 37.7138),75,75,9,9,40
QUESADA,INGALLS,NE,WB,0,20135000,QUESADA & INGALLS,,,,,,,POINT (-122.383995 37.72911),78,78,2,9,1
CLAREMONT,ULLOA,NW,SB,0,22875000,CLAREMONT & ULLOA,,,,,,,POINT (-122.465034 37.74065),49,49,10,8,41
NORIEGA,42ND AVE,SW,EB,,27766000,NORIEGA & 42ND AVE,,,,,,,POINT (-122.50112 37.753155),39,39,10,7,35
MYRA,MOLIMO,NE,WB,0,22397000,MYRA & MOLIMO,,,,,,,POINT (-122.45161 37.73775),72,72,9,8,41
FLORIDA,24TH ST,NW,SB,,5628000,FLORIDA ST & 24TH ST,,,,,,,POINT (-122.41007 37.75274),53,53,3,2,20
SANCHEZ,LIBERTY,SE,NB,,25782000,SANCHEZ ST & LIBERTY ST,,,,I,,,POINT (-122.43068 37.757126),52,52,3,5,5
POWELL,FRANCISCO,NW,SB,,25458000,POWELL & FRANCISCO,,,,,,,POINT (-122.411766 37.804897),106,106,6,3,23
MONTEREY,SAN BENITO,NE,WB,0,22911000,MONTEREY & SAN BENITO,,,,,,,POINT (-122.466995 37.733093),116,116,10,8,41
JENNINGS ST,SHAFTER,NW,SB,0,20155000,JENNINGS ST & SHAFTER,,,,,,,POINT (-122.386986 37.72892),86,86,2,9,1
ALAMEDA,DE HARO,SW,EB,,23859000,ALAMEDA ST & DE HARO ST,,,,I,,,POINT (-122.40196 37.768707),33,33,1,9,4
MOULTRIE,OGDEN,NW,SB,0,21189000,MOULTRIE & OGDEN,,,,,,,POINT (-122.41606 37.73604),83,83,9,2,2
FAIRFAX,NEWHALL,SW,EB,0,20237000,FAIRFAX AVE & NEWHALL ST,,,,,,,POINT (-122.387146 37.7413),86,86,2,9,1
VICENTE,46TH AVE,SW,EB,0,23491000,VICENTE & 46TH AVE,,,,,,,POINT (-122.50436 37.738052),39,39,10,7,35
NORIEGA,40TH AVE,SW,EB,,27755000,NORIEGA & 40TH AVE,,,,,,,POINT (-122.49897 37.75325),39,39,10,7,35
JACKSON ST,PIERCE,NE,WB,0,26673000,JACKSON ST & PIERCE,,,,,,,POINT (-122.43784 37.792053),102,102,4,6,30
NEWHALL,PALOU,NW,SB,0,20664000,NEWHALL ST & PALOU AVE,,,,,,,POINT (-122.39278 37.73504),87,87,2,9,1
39TH AVE,WAWONA,SE,NB,,23427000,39TH AVE & WAWONA,,,,,,,POINT (-122.49673 37.73651),40,40,10,7,35
MURRAY,JUSTIN,NE,WB,,21240000,MURRAY ST & JUSTIN DR,,,,I,,,POINT (-122.42238 37.73384),93,93,9,2,2
ANZA,28TH AVE,SW,EB,,27552000,ANZA ST & 28TH AVE,,,,,,,POINT (-122.48781 37.77802),8,8,8,4,29
GILMAN,INGALLS,NE,WB,0,20443000,GILMAN & INGALLS,,,,,,,POINT (-122.39187 37.72035),88,88,2,9,1
JUDSON,FOERSTER,SW,EB,,22225000,JUDSON AVE & FOERSTER ST,,,,I,,,POINT (-122.448845 37.72837),95,95,9,8,41
IRVING ST,LA PLAYA ST,NE,WB,0,27961000,IRVING ST & LA PLAYA ST,20210219000000,,6366,I,21-01823,20210303000000,POINT (-122.50927 37.762142),39,39,10,7,35
ASHBURY,PIEDMONT,NW,SB,,26216000,ASHBURY & PIEDMONT,,,,,,,POINT (-122.44596 37.765217),112,112,7,5,3
NEPTUNE,THORNTON,,WB,,20538000,NEPTUNE & THORNTON,,,,,,,POINT (-122.39686 37.73131),87,87,2,9,1
08TH AVE,LAWTON,NW,SB,0,27105000,08TH AVE & LAWTON,,,,,,,POINT (-122.46485 37.75849),44,44,10,8,14
SACRAMENTO,SPRUCE,SW,EB,0,26945000,SACRAMENTO ST & SPRUCE ST,,,,,,,POINT (-122.45359 37.787346),10,10,8,6,31
SAN JOSE,23RD ST,SE,NB,0,24110000,SAN JOSE & 23RD ST,,,,,,,POINT (-122.42152 37.753662),52,52,3,5,20
LOMBARD,STOCKTON,SW,EB,0,25398000,LOMBARD ST & STOCKTON ST,,,,I,,,POINT (-122.40975 37.803238),106,106,6,3,23
MADRID,ITALY,NW,SB,0,21727000,MADRID & ITALY,,,,,,,POINT (-122.43633 37.716953),90,90,9,1,7
STANLEY,ORIZABA,SW,EB,15W,22493000,STANLEY & ORIZABA,,,,,,,POINT (-122.46258 37.712524),65,65,10,1,24
TARAVAL,30TH AVE,NE,WB,,23283000,TARAVAL & 30TH AVE,,,,,,,POINT (-122.48748 37.74253),40,40,10,7,35
25TH AVE,LAWTON,NW,SB,0,27392000,25TH AVE & LAWTON,,,,,,,POINT (-122.48316 37.757683),39,39,10,7,35
32ND AVE,CABRILLO,NW,SB,0,27818000,32ND AVE & CABRILLO,,,,,,,POINT (-122.49182 37.774094),8,8,8,4,29
PERALTA,POWHATTAN,NW,SB,0,21097000,PERALTA AVE & POWHATTAN AVE,,,,I,,,POINT (-122.40875 37.741276),83,83,9,2,2
AVALON,VIENNA,NE,WB,,21641000,AVALON AVE & VIENNA ST,20201113000000,,6326,I,21-01062,20210331000000,POINT (-122.42691 37.72515),90,90,9,1,7
CRESTA VISTA,BELLA VISTA,SW,EB,,22381000,CRESTA VISTA DR & BELLA VISTA WY,20190205000000,,190205-010,I,19-7243,20190906000000,POINT (-122.45158 37.736057),72,72,9,8,41
20TH ST,CONNECTICUT,SW,EB,0,23666000,20TH ST & CONNECTICUT ST,,,,I,,,POINT (-122.39725 37.759968),54,54,2,9,26
INGALLS,VAN DYKE,NW,SB,,20144000,INGALLS ST & VAN DYKE AVE,,,,,,,POINT (-122.3868 37.725986),78,78,2,9,1
RINCON,BRYANT,NW,SB,0,24481000,RINCON & BRYANT,,,,,,,POINT (-122.39212 37.784206),31,31,1,10,8
23RD ST,BRYANT,SW,EB,0,23960000,23RD ST & BRYANT ST,,,,,,,POINT (-122.409256 37.7544),53,53,3,2,20
HOLLOWAY,LEE,NE,WB,,22220000,HOLLOWAY & LEE,,,,,,,POINT (-122.45411 37.72185),64,64,10,1,24
SUTTER,PIERCE,NE,WB,,26626000,SUTTER & PIERCE,,,,,,,POINT (-122.436554 37.785667),103,103,4,11,15
ARKANSAS,20TH ST,SE,NB,0,23733000,ARKANSAS & 20TH ST,,,,,,,POINT (-122.39822 37.75991),54,54,2,9,26
FOUNTAIN,25TH ST,NW,SB,,22322000,FOUNTAIN ST & 25TH ST,20160816000000,,16-103,,,,POINT (-122.441536 37.74923),51,51,3,5,22
LIBERTY ST,CASTRO ST,,WB,,2575500,,,,,,,,POINT (-122.43462 37.756886),115,115,3,5,5
PALMETTO,JUNIPERO SERRA,NE,WB,0,22537000,PALMETTO & JUNIPERO SERRA,,,,,,,POINT (-122.47105 37.71065),65,65,10,8,24
22ND ST,CAROLINA,NE,WB,,23703000,22ND ST & CAROLINA ST,,,,I,,,POINT (-122.39991 37.757244),54,54,2,9,26
MCALLISTER,CENTRAL,SW,EB,0,26373000,MCALLISTER ST & CENTRAL AVE,,,,,,,POINT (-122.44497 37.77696),97,97,7,11,18
NEWHALL,NEWCOMB,NW,SB,,20666000,NEWHALL ST & NEWCOMB AVE,,,,,,,POINT (-122.39165 37.736286),86,86,2,9,1
LAWTON,24TH AVE,SW,EB,0,27391000,LAWTON ST & 24TH AVE,,,,,,,POINT (-122.48209 37.757732),39,39,10,7,35
38TH AVE,WAWONA,SE,NB,,23371000,38TH AVE & WAWONA,,,,,,,POINT (-122.49566 37.736557),40,40,10,7,35
ROOSEVELT,MUSEUM,,WB,,26313000,ROOSEVELT & MUSEUM,,,,,,,POINT (-122.44124 37.76527),113,113,7,5,5
TREAT,24TH ST,SE,NB,0,23987000,TREAT & 24TH ST,,,,,,,POINT (-122.412994 37.75257),53,53,3,2,20
46TH AVE,RIVERA,NW,SB,,23509000,46TH AVE & RIVERA ST,,,,I,,,POINT (-122.50488 37.745502),39,39,10,7,35
HAWES,HOLLISTER,SE,NB,,20436000,HAWES ST & HOLLISTER AVE,,,,I,,,POINT (-122.390564 37.71869),88,88,2,9,1
YORK,18TH ST,SE,NB,0,24011000,YORK & 18TH ST,,,,,,,POINT (-122.40916 37.761818),53,53,3,9,20
JERSEY ST,DOLORES,SW,EB,0,25613000,JERSEY ST & DOLORES,,,,,,,POINT (-122.42508 37.751034),52,52,3,5,22
LYON,WASHINGTON,SE,NB,0,26884000,LYON ST & WASHINGTON ST,,,,I,,,POINT (-122.44593 37.79012),102,102,8,6,30
NORTH POINT,DIVISADERO,NE,WB,00,26994000,NORTH POINT & DIVISADERO,,,,,,,POINT (-122.44341 37.802773),17,17,4,6,13
MASONIC,WALLER,SE,NB,0,26341000,MASONIC & WALLER,,,,,,,POINT (-122.44511 37.769283),25,25,7,11,3
LAWTON,10TH AVE,SW,EB,,27110000,LAWTON ST & 10TH AVE,,,,,,,POINT (-122.466995 37.758396),44,44,10,8,14
36TH AVE,WAWONA,NW,SB,0,23364000,36TH AVE & WAWONA,,,,,,,POINT (-122.49354 37.736706),40,40,10,7,35
TERESITA,STILLINGS,NW,SB,,22293000,,,,,,,,POINT (-122.44535 37.73455),72,72,9,8,41
JENNINGS ST,CARROLL,SE,NB,0,20452000,JENNINGS ST & CARROLL,,,,,,,POINT (-122.391495 37.723915),88,88,2,9,1
UNIVERSITY,SILLIMAN,NW,SB,00,20965000,UNIVERSITY & SILLIMAN,,,,,,,POINT (-122.414955 37.728657),91,91,2,2,25
16TH AVE,FULTON,NW,SB,0,27453000,16TH AVE & FULTON,,,,,,,POINT (-122.47455 37.77301),9,9,8,4,12
32ND AVE,KIRKHAM,NW,SB,,27713000,32ND AVE & KIRKHAM,,,,,,,POINT (-122.49079 37.759216),39,39,10,7,35
BLANKEN,GILLETTE,SW,EB,0,20268000,BLANKEN & GILLETTE,,,,,,,POINT (-122.396484 37.710995),89,89,2,9,1
KEITH ST,VAN DYKE,SE,NB,0,20483000,KEITH ST & VAN DYKE,,,,,,,POINT (-122.39055 37.7281),86,86,2,9,1
WHIPPLE,HURON,SE,NB,0,21542000,WHIPPLE & HURON,,,,,,,POINT (-122.44942 37.71218),66,66,9,1,28
WARREN,DEVONSHIRE,NW,SB,0,27051000,WARREN & DEVONSHIRE,,,,,,,POINT (-122.46121 37.754498),111,111,7,8,14
32ND AVE,TARAVAL,NW,SB,0,23389000,32ND AVE & TARAVAL,,,,,,,POINT (-122.489624 37.74244),40,40,10,7,35
HAWES,GILMAN,SE,NB,0,20438000,HAWES ST & GILMAN AVE,,,,I,,,POINT (-122.39002 37.7193),88,88,2,9,1
JACKSON ST,LYON,NE,WB,,26885000,JACKSON ST & LYON,,,,,,,POINT (-122.44611 37.791),102,102,8,6,30
CAMBRIDGE,WAYLAND,NW,SB,,20939000,CAMBRIDGE & WAYLAND,,,,,,,POINT (-122.416916 37.722824),92,92,2,2,25
PERSIA,MADRID,SW,EB,0,21718000,PERSIA AVE & MADRID ST,,,,,,,POINT (-122.43281 37.72162),90,90,9,1,7
04TH AVE,CABRILLO,NW,SB,0,27238000,04TH AVE & CABRILLO,,,,,,,POINT (-122.46173 37.775467),5,5,8,4,11
STILLMAN,03RD ST,NE,WB,,23838000,STILLMAN ST & 03RD ST,,,,I,,,POINT (-122.39638 37.78175),32,32,1,10,8
TARAVAL,42ND AVE,SW,EB,0,23458000,TARAVAL & 42ND AVE,,,,,,,POINT (-122.500336 37.74196),39,39,10,7,35
SAN BENITO,ST FRANCIS,SE,NB,0,22913000,SAN BENITO & ST FRANCIS,,,,,,,POINT (-122.46713 37.734898),116,116,10,8,41
THOMAS,JENNINGS,SW,EB,0,20150000,THOMAS & JENNINGS,,,,,,,POINT (-122.38755 37.728294),86,86,2,9,1
26TH AVE,VICENTE,SE,NB,,23237000,26TH AVE & VICENTE,,,,,,,POINT (-122.48293 37.738995),40,40,10,7,35
KIRKHAM,40TH AVE,,EB,,27786000,KIRKHAM ST & 40TH AVE,,,,,,,POINT (-122.49937 37.758842),39,39,10,7,35
CERRITOS,MONCADA,SW,EB,0,22777000,CERRITOS & MONCADA,,,,,,,POINT (-122.469185 37.7263),67,67,10,8,41
CLEMENTINA,08TH ST,NE,WB,0,24273000,CLEMENTINA & 08TH ST,,,,,,,POINT (-122.410614 37.77543),32,32,1,10,34
CLEMENT,10TH AVE,NE,WB,0,27303000,CLEMENT ST & 10TH AVE,,,,,,,POINT (-122.468704 37.78275),5,5,8,4,11
LELAND AVE,DESMOND,SW,EB,00,20315000,LELAND AVE & DESMOND,,,,,,,POINT (-122.4048 37.71161),75,75,9,9,40
19TH ST,SANCHEZ,NE,WB,0,25718000,19TH ST & SANCHEZ ST,,,,,,,POINT (-122.43042 37.759556),52,52,3,5,5
FILLMORE,GREENWICH,NW,SB,0,26747000,FILLMORE ST & GREENWICH ST,,,,,,,POINT (-122.43587 37.79895),15,15,4,6,13
TARAVAL,24TH AVE,NE,WB,0,23261000,TARAVAL & 24TH AVE,,,,,,,POINT (-122.48105 37.742813),40,40,10,7,35
DIVISADERO,PACIFIC,NW,SB,0,26858000,DIVISADERO ST & PACIFIC AVE,,,,,,,POINT (-122.44133 37.79251),102,102,4,6,30
QUINT,BAYSHORE,NE,WB,0,20642000,QUINT & BAYSHORE,,,,,,,POINT (-122.40302 37.7299),87,87,2,9,1
NIAGARA,SAN JOSE,,SB,,22174000,NIAGARA & SAN JOSE,,,,,,,POINT (-122.44756 37.719482),80,80,9,1,28
ARLETA,RUTLAND,,SB,,20358000,ARLETA & RUTLAND,,,,,,,POINT (-122.40677 37.7139),75,75,9,9,40
ORD,CORBETT,SE,NB,0,26164000,ORD & CORBETT,,,,,,,POINT (-122.44013 37.76183),115,115,7,5,5
14TH AVE,CALIFORNIA,NW,SB,0,27621000,14TH AVE & CALIFORNIA,,,,,,,POINT (-122.47312 37.78442),5,5,8,4,29
TOPEKA,BRIDGEVIEW,SW,EB,,20615000,TOPEKA & BRIDGEVIEW,,,,,,,POINT (-122.39769 37.733276),87,87,2,9,1
RIVERA,31ST AVE,,NB,,23391000,RIVERA & 31ST AVE,,,,,,,POINT (-122.48881 37.746212),40,40,10,7,35
LAURA ST,MISSION,NW,SB,0,21548000,LAURA ST & MISSION,,,,,,,POINT (-122.450096 37.70968),66,66,9,1,28
EUCLID,HEATHER,SW,EB,,26927000,EUCLID & HEATHER,,,,,,,POINT (-122.45275 37.784065),11,11,8,6,31
CLAY,SCOTT,SW,EB,0,26819000,CLAY ST & SCOTT,,,,,,,POINT (-122.43913 37.79008),102,102,4,6,30
ANZA,21ST AVE,SW,EB,,27531000,ANZA ST & 21ST AVE,,,,,,,POINT (-122.48031 37.77836),8,8,8,4,29
15TH AVE,VICENTE,SW,EB,,22953000,15TH AVE & VICENTE ST,,,,I,,,POINT (-122.47109 37.739513),46,46,10,8,41
NAYLOR,CHICAGO,NW,SB,,21383000,NAYLOR & CHICAGO,,,,,,,POINT (-122.432465 37.709724),58,58,9,1,7
FRIEDELL,KIRKWOOD,NW,SB,,,FRIEDELL ST & KIRKWOOD AVE,20170620000000,,170620-076,,,,POINT (-122.37082 37.72731),78,78,2,9,1
CAMPBELL,RUTLAND,SW,EB,,20333000,CAMPBELL & RUTLAND,,,,,,,POINT (-122.40619 37.715244),75,75,9,9,40
FAXON,KENWOOD,SE,NB,,22676000,FAXON AVE & KENWOOD WY,,,,,,,POINT (-122.46 37.72874),71,71,9,8,41
WISCONSIN,08TH ST,SW,EB,,23844000,WISCONSIN & 08TH ST,,,,,,,POINT (-122.39968 37.766697),33,33,1,9,4
CABRILLO,15TH AVE,NE,WB,0,27450000,CABRILLO ST & 15TH AVE,,,,I,,,POINT (-122.473564 37.77493),5,5,8,4,29
JOHN F KENNEDY DR,TRANSVERSE,SW,EB,0,27464000,JOHN F KENNEDY DR & TRANSVERSE,,,,,,,POINT (-122.4799 37.770496),9,9,8,4,12
MANOR,OCEAN,NW,SB,0,22751000,MANOR & OCEAN,,,,,,,POINT (-122.46531 37.726406),68,68,10,8,41
COLEMAN,HUDSON,SE,NB,,35033000,COLEMAN ST & HUDSON AVE,,,,I,19-7650,20190524000000,POINT (-122.367874 37.728466),78,78,2,9,1
SANCHEZ,CESAR CHAVEZ,SE,NB,0,21921000,SANCHEZ ST & CESAR CHAVEZ,,,,I,,,POINT (-122.42927 37.747566),84,84,3,5,22
CAMPBELL,SAN BRUNO,SW,EB,0,20295000,CAMPBELL & SAN BRUNO,,,,,,,POINT (-122.39955 37.71539),91,91,9,9,40
MAYFAIR,SPRUCE,NE,WB,,26944000,MAYFAIR & SPRUCE,,,,,,,POINT (-122.453255 37.78572),11,11,8,6,31
21ST ST,BRYANT,SW,EB,0,23973000,21ST ST & BRYANT,,,,,,,POINT (-122.40959 37.757595),53,53,3,2,20
WALLER,PIERCE,,WB,,25996000,WALLER & PIERCE,,,,,,,POINT (-122.43355 37.770756),28,28,7,11,3
SANTIAGO,30TH AVE,SW,EB,0,23284000,SANTIAGO & 30TH AVE,,,,,,,POINT (-122.48761 37.7444),40,40,10,7,35
DOLORES,27TH ST,NW,SB,,21900000,DOLORES & 27TH ST,20190604000000,,190604-059,I,19-7959,20200123000000,POINT (-122.42469 37.747032),84,84,9,5,22
CASTRO,CLIPPER,SE,NB,0,25736000,CASTRO ST & CLIPPER ST,,,,,,,POINT (-122.43385 37.748898),84,84,3,5,22
18TH ST,DOUGLASS,SW,EB,0,26144000,18TH ST & DOUGLASS,,,,,,,POINT (-122.43934 37.760628),115,115,3,5,5
21ST AVE,IRVING,SE,NB,0,27376000,21ST AVE & IRVING,,,,,,,POINT (-122.47926 37.763466),39,39,10,7,35
SCOTT,NORTH POINT,SE,NB,0,26993000,SCOTT & NORTH POINT,,,,,,,POINT (-122.44176 37.802986),17,17,4,6,13
CARGO,JENNINGS,SW,EB,,33104000,CARGO WY & JENNINGS ST,,,,,,,POINT (-122.37685 37.740192),76,76,2,9,1
24TH ST,SAN BRUNO,,WB,,23721000,24TH ST & SAN BRUNO,,,,,,,POINT (-122.404366 37.75312),54,54,3,9,20
PAGE,PIERCE,NE,WB,0,26003000,PAGE & PIERCE,,,,,,,POINT (-122.43392 37.77262),26,26,4,11,3
DONAHUE,INNES,NW,SB,,35028000,DONAHUE ST & INNES AVE,20170620000000,,170620-076,I,,,POINT (-122.37015 37.728786),78,78,2,9,1
MORAGA,18TH AVE,NE,WB,0,27330000,MORAGA ST & 18TH AVE,,,,,,,POINT (-122.47554 37.756157),44,44,10,8,14
CASTRO,23RD ST,SE,NB,,25745000,CASTRO ST & 23RD ST,,,,,,,POINT (-122.43424 37.75289),84,84,3,5,22
DELANO,NIAGARA,SE,NB,,22098000,DELANO & NIAGARA,,,,,,,POINT (-122.44591 37.718826),80,80,9,1,28
14TH AVE,LINCOLN,SE,NB,0,27261000,14TH AVE & LINCOLN,,,,,,,POINT (-122.4718 37.76569),109,109,10,11,12
LOCUST ST,JACKSON,SE,NB,0,26942000,LOCUST ST & JACKSON,,,,,,,POINT (-122.45248 37.790188),10,10,8,6,31
YOSEMITE,KEITH,SW,EB,,20492000,YOSEMITE & KEITH,,,,,,,POINT (-122.39167 37.726852),86,86,2,9,1
FLOURNOY,RHINE,SW,EB,,22482000,FLOURNOY & RHINE,,,,,,,POINT (-122.46172 37.708538),66,66,10,1,28
46TH AVE,VICENTE,NW,SB,15N,23491000,46TH AVE & VICENTE ST,,,,I,,,POINT (-122.50436 37.738052),39,39,10,7,35
WEBSTER,CLAY,SE,NB,0,26646000,WEBSTER & CLAY,,,,,,,POINT (-122.43256 37.79092),102,102,4,6,30
CHRISTOPHER,CRESTMONT,NW,SB,0,27036000,CHRISTOPHER & CRESTMONT,,,,,,,POINT (-122.45735 37.755688),111,111,7,8,14
DE HARO,19TH ST,SE,NB,0,23742000,DE HARO ST & 19TH ST,,,,,,,POINT (-122.4012 37.761013),54,54,2,9,26
SAN GABRIEL,CAPISTRANO,SW,EB,0,21813000,SAN GABRIEL AVE & CAPISTRANO AVE,20201016000000,,6312,I,20-01476,20210208000000,POINT (-122.437706 37.72927),94,94,9,1,28
IRVING,FUNSTON,SW,EB,0,27173000,IRVING ST & FUNSTON,,,,I,,,POINT (-122.4706 37.763847),109,109,10,11,14
11TH AVE,BALBOA,NW,SB,0,27294000,11TH AVE & BALBOA ST,,,,,,,POINT (-122.46936 37.77699),5,5,8,4,11
AMHERST,BACON,,WB,,20938000,AMHERST & BACON,,,,,,,POINT (-122.415436 37.724533),92,92,2,2,25
RIVERA,18TH AVE,SW,EB,0,23192000,RIVERA & 18TH AVE,,,,,,,POINT (-122.474884 37.746826),44,44,10,8,41
LYON,GOLDEN GATE,SE,NB,0,26375000,LYON ST & GOLDEN GATE AVE,,,,I,,,POINT (-122.443504 37.778088),97,97,7,11,18
URBANO,VICTORIA,,WB,,22705000,URBANO & VICTORIA,,,,,,,POINT (-122.46429 37.725155),67,67,10,8,41
VELASCO,CALGARY,SW,EB,00,20402000,VELASCO & CALGARY,,,,,,,POINT (-122.41596 37.708996),75,75,9,9,40
CAPISTRANO,SAN JUAN,NW,SB,0,21799000,CAPISTRANO & SAN JUAN,,,,,,,POINT (-122.43877 37.72551),94,94,9,1,28
12TH AVE,FUNSTON,NW,SB,0,27111000,12TH AVE & FUNSTON,,,,,,,POINT (-122.46902 37.750797),44,44,10,8,14
RAYMOND,RUTLAND,SW,EB,0,20357000,RAYMOND & RUTLAND,,,,,,,POINT (-122.40706 37.713226),75,75,9,9,40
29TH AVE,FULTON,NW,SB,00,27811000,29TH AVE & FULTON,,,,,,,POINT (-122.48847 37.772373),9,9,8,4,12
WAWONA,ULLOA,SE,NB,0,22964000,WAWONA ST & ULLOA,,,,,,,POINT (-122.46671 37.741325),46,46,10,8,41
OAK PARK,DEVONSHIRE,NW,SB,,27049000,OAK PARK & DEVONSHIRE,,,,,,,POINT (-122.46054 37.755028),111,111,7,8,14
NEWHALL,OAKDALE,NW,SB,0,20667000,NEWHALL ST & OAKDALE AVE,,,,,,,POINT (-122.39221 37.73566),86,86,2,9,1
HAZELWOOD,BRENTWOOD,NW,SB,0,22799000,HAZELWOOD & BRENTWOOD,,,,,,,POINT (-122.45652 37.73427),70,70,9,8,41
BELLA VISTA,MOLIMO,NW,SB,0,22369000,BELLA VISTA & MOLIMO,,,,,,,POINT (-122.451866 37.736717),72,72,9,8,41
EUCALYPTUS,JUNIPERO SERRA,SW,EB,,33502000,EUCALYPTUS DR & JUNIPERO SERRA BLVD,,,,,,,POINT (-122.47213 37.73106),62,62,10,8,41
48TH AVE,MORAGA,NW,SB,0,27938000,48TH AVE & MORAGA,,,,,,,POINT (-122.507675 37.754738),39,39,10,7,35
BRODERICK,CLAY,SE,NB,0,26854000,BRODERICK ST & CLAY ST,,,,,,,POINT (-122.442474 37.78966),102,102,8,6,30
SCOTT,FILBERT,SE,NB,0,26874000,SCOTT & FILBERT,,,,,,,POINT (-122.44061 37.797394),14,14,4,6,13
BAKER,WASHINGTON,NW,SB,,26862000,BAKER ST& WASHINGTON ST,,,,,,,POINT (-122.4443 37.790325),102,102,8,6,30
43RD AVE,QUINTARA,NW,SB,0,23483000,43RD AVE & QUINTARA,,,,,,,POINT (-122.5018 37.74751),39,39,10,7,35
