Tile_ID,Long2,Lat2,Long1,Lat1,Mid_lat,Mid_long,Stop_Signs,Paving_historical,Paving_future,Bus_stop,Collisions_Future,Collisions_Historical,RTTYP_I,RTTYP_M,RTTYP_O,RTTYP_S,RTTYP_U,bin
518,-122.5098855,37.7597565,-122.5087454,37.75885289,37.759305,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
519,-122.5098855,37.75885289,-122.5087454,37.75794929,37.758401,-122.509315,3.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,1
520,-122.5098855,37.75794929,-122.5087454,37.75704568,37.757497,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
521,-122.5098855,37.75704568,-122.5087454,37.75614208,37.756594,-122.509315,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1
522,-122.5098855,37.75614208,-122.5087454,37.75523847,37.75569,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
523,-122.5098855,37.75523847,-122.5087454,37.75433487,37.754787,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
524,-122.5098855,37.75433487,-122.5087454,37.75343126,37.753883,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
525,-122.5098855,37.75343126,-122.5087454,37.75252766,37.752979,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
526,-122.5098855,37.75252766,-122.5087454,37.75162405,37.752076,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
527,-122.5098855,37.75162405,-122.5087454,37.75072045,37.751172,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
530,-122.5098855,37.74891324,-122.5087454,37.74800963,37.748461,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
605,-122.5087454,37.78505745,-122.5076053,37.78415384,37.784606,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
607,-122.5087454,37.78325024,-122.5076053,37.78234663,37.782798,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
608,-122.5087454,37.78234663,-122.5076053,37.78144303,37.781895,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
609,-122.5087454,37.78144303,-122.5076053,37.78053942,37.780991,-122.508175,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0,0,0,1
610,-122.5087454,37.78053942,-122.5076053,37.77963582,37.780088,-122.508175,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
611,-122.5087454,37.77963582,-122.5076053,37.77873221,37.779184,-122.508175,2.0,3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
612,-122.5087454,37.77873221,-122.5076053,37.77782861,37.77828,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
613,-122.5087454,37.77782861,-122.5076053,37.776925,37.777377,-122.508175,2.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
614,-122.5087454,37.776925,-122.5076053,37.77602139,37.776473,-122.508175,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
615,-122.5087454,37.77602139,-122.5076053,37.77511779,37.77557,-122.508175,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
616,-122.5087454,37.77511779,-122.5076053,37.77421418,37.774666,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
617,-122.5087454,37.77421418,-122.5076053,37.77331058,37.773762,-122.508175,4.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
618,-122.5087454,37.77331058,-122.5076053,37.77240697,37.772859,-122.508175,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
619,-122.5087454,37.77240697,-122.5076053,37.77150337,37.771955,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
620,-122.5087454,37.77150337,-122.5076053,37.77059976,37.771052,-122.508175,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0,2
621,-122.5087454,37.77059976,-122.5076053,37.76969616,37.770148,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
622,-122.5087454,37.76969616,-122.5076053,37.76879255,37.769244,-122.508175,1.0,0.0,0.0,0.0,0.0,3.0,0,1,0,0,0,1
623,-122.5087454,37.76879255,-122.5076053,37.76788895,37.768341,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
626,-122.5087454,37.76608174,-122.5076053,37.76517813,37.76563,-122.508175,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
627,-122.5087454,37.76517813,-122.5076053,37.76427453,37.764726,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
628,-122.5087454,37.76427453,-122.5076053,37.76337092,37.763823,-122.508175,1.0,0.0,0.0,0.0,1.0,2.0,0,1,0,0,0,2
629,-122.5087454,37.76337092,-122.5076053,37.76246732,37.762919,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
