city,year,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
San Jacinto,2016,0,77.39013698630137,54.32630136986301,65.3372602739726,385.5,385.5,0.0,551.0,7.470958904109589,18.454246575342466
San Jacinto,2017,1,77.9532967032967,54.96153846153846,66.07774725274724,357.1,357.1,0.0,507.0,7.339560439560439,17.928846153846155
San Jacinto,2018,1,77.91291208791209,54.997527472527466,65.81923076923078,295.6,295.6,0.0,441.0,7.454670329670329,18.196153846153845
San Joaquin,2014,0,82.37032967032967,57.817582417582415,69.6370879120879,222.3,222.3,0.0,298.0,8.324175824175825,18.564560439560438
San Joaquin,2015,0,80.69203296703297,56.649450549450556,68.11923076923077,143.3,143.3,0.0,235.0,8.015934065934067,18.089010989010987
San Joaquin,2016,0,80.06465753424658,56.69808219178082,67.9068493150685,365.7,365.7,0.0,452.0,8.413424657534245,18.88931506849315
San Joaquin,2017,0,80.06236263736264,57.34697802197803,68.27637362637363,356.29999999999995,356.29999999999995,0.0,539.0,8.406318681318682,18.910164835164835
San Joaquin,2018,0,81.01675824175824,56.97417582417582,68.48104395604395,309.1,309.1,0.0,428.0,8.263736263736265,18.7978021978022
San Jose,2014,3,73.73241758241758,53.57142857142857,62.348076923076924,627.2,627.2,0.0,702.0,11.39532967032967,17.689835164835163
San Jose,2015,1,72.56043956043956,52.84340659340659,61.49972527472528,320.50000000000006,320.50000000000006,0.0,344.0,11.498626373626374,17.44478021978022
San Jose,2016,3,70.7035616438356,52.158630136986304,60.361095890410965,843.3,843.3,0.0,822.0,11.959452054794523,17.986301369863014
San Jose,2017,1,72.1989010989011,52.440659340659344,61.225824175824165,1010.8,1010.8,0.0,856.0,12.46510989010989,18.711263736263735
San Jose,2018,3,71.77884615384616,51.774450549450556,60.54615384615384,536.8,536.8,0.0,621.0,12.060164835164837,17.6793956043956
San Juan Bautista,2014,1,70.5717032967033,51.1793956043956,59.71895604395605,456.3,456.3,0.0,543.0,8.108516483516484,18.907967032967033
San Juan Bautista,2015,3,70.19313186813187,50.637362637362635,59.395329670329666,243.40000000000003,243.40000000000003,0.0,329.0,8.230494505494505,18.744505494505493
San Juan Bautista,2016,3,68.68986301369863,50.55068493150685,58.64328767123288,520.4,520.4,0.0,650.0,8.496438356164383,18.95013698630137
San Juan Bautista,2017,1,69.85384615384615,50.58818681318681,59.201648351648345,597.4999999999999,597.4999999999999,0.0,749.0,8.651648351648353,19.449725274725274
San Juan Bautista,2018,3,69.15274725274725,49.95467032967033,58.475,398.70000000000005,398.70000000000005,0.0,549.0,8.481318681318681,18.706043956043956
San Juan Capistrano,2014,2,72.78956043956043,58.25302197802198,64.86730769230769,227.10000000000002,227.10000000000002,0.0,268.0,9.34065934065934,19.432692307692307
San Juan Capistrano,2015,1,72.4651098901099,58.16016483516484,64.79478021978022,147.1,147.1,0.0,309.0,9.361813186813187,19.228571428571428
San Juan Capistrano,2016,3,71.27506849315068,57.48219178082191,63.77726027397261,229.3,229.3,0.0,353.0,9.493698630136986,19.26684931506849
San Juan Capistrano,2017,3,71.78324175824176,58.08653846153846,64.27774725274725,257.1,257.1,0.0,394.0,9.384065934065935,19.037362637362637
San Juan Capistrano,2018,3,71.41868131868132,57.959340659340654,64.03104395604396,239.5,239.5,0.0,334.0,9.33434065934066,18.953021978021976
San Leandro,2014,3,70.6087912087912,53.11813186813187,60.7793956043956,480.4,480.4,0.0,602.0,9.434615384615384,22.633791208791205
San Leandro,2015,3,69.92362637362636,52.25961538461539,60.15741758241758,239.20000000000002,239.20000000000002,0.0,324.0,9.361538461538462,21.811263736263736
San Leandro,2016,3,68.68931506849316,52.18904109589041,59.62328767123287,553.5,553.5,0.0,707.0,9.71178082191781,22.79041095890411
